"x","y","pos","order"
4934.45068359375,2388.55932617188,"4934.45068359375_2388.55932617188",29015
5036.1611328125,2411.56762695312,"5036.1611328125_2411.56762695312",16362
5038.150390625,2487.41870117188,"5038.150390625_2487.41870117188",22047
5112.951171875,2547.625,"5112.951171875_2547.625",19530
5198.982421875,2621.48486328125,"5198.982421875_2621.48486328125",18753
5299.52978515625,2764.08251953125,"5299.52978515625_2764.08251953125",14349
5370.49951171875,2857.35327148438,"5370.49951171875_2857.35327148438",9257
5437.0869140625,2877.99243164062,"5437.0869140625_2877.99243164062",28183
5496.74658203125,3008.88696289062,"5496.74658203125_3008.88696289062",21484
5512.53515625,3135.81103515625,"5512.53515625_3135.81103515625",19966
5502.51220703125,3062.62426757812,"5502.51220703125_3062.62426757812",20344
5565.61328125,3151.5673828125,"5565.61328125_3151.5673828125",272
5610.3095703125,3324.17309570312,"5610.3095703125_3324.17309570312",16931
5615.4306640625,3461.87670898438,"5615.4306640625_3461.87670898438",33879
5653.64892578125,3638.271484375,"5653.64892578125_3638.271484375",24316
5663.45703125,3790.73583984375,"5663.45703125_3790.73583984375",26465
5674.8818359375,3866.4716796875,"5674.8818359375_3866.4716796875",35324
5681.171875,4071.06274414062,"5681.171875_4071.06274414062",25203
5678.44091796875,4239.703125,"5678.44091796875_4239.703125",14953
5613.19384765625,4487.728515625,"5613.19384765625_4487.728515625",20496
5514.0849609375,4664.951171875,"5514.0849609375_4664.951171875",13255
5427.7412109375,4864.3818359375,"5427.7412109375_4864.3818359375",3639
5393.39453125,4949.93798828125,"5393.39453125_4949.93798828125",30657
5318.88427734375,5070.61328125,"5318.88427734375_5070.61328125",4541
5265.56591796875,5171.576171875,"5265.56591796875_5171.576171875",481
5214.66650390625,5212.0927734375,"5214.66650390625_5212.0927734375",8685
5186.25244140625,5321.81298828125,"5186.25244140625_5321.81298828125",442
5117.72119140625,5472.5302734375,"5117.72119140625_5472.5302734375",32975
4978.42333984375,5668.79052734375,"4978.42333984375_5668.79052734375",10149
4931.73583984375,5767.6796875,"4931.73583984375_5767.6796875",8667
4805.34521484375,5899.640625,"4805.34521484375_5899.640625",35305
4679.52978515625,6013.7080078125,"4679.52978515625_6013.7080078125",13165
